BEGINN_DATUM;BEGINN_UHRZEIT;ENDE_DATUM;ENDE_UHRZEIT;NETZREGION;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE
07.01.2015;19:45;08.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;124;200;525;TenneT DE;50Hertz & TenneT DE;Gebersdorf 1
07.01.2015;20:00;08.01.2015;00:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;800;50Hertz;50Hertz & PSE;Jaenschwalde
07.01.2015;20:45;08.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;254;300;825;TenneT DE;50Hertz & TenneT DE;Ingolstadt 3
08.01.2015;00:00;08.01.2015;06:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;60;60;360;TenneT DE;50Hertz & TenneT DE;Ingolstadt 3
08.01.2015;00:00;08.01.2015;07:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;101;120;705;TenneT DE;TenneT DE;Ingolstadt 3
08.01.2015;00:00;08.01.2015;06:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;60;60;360;50Hertz;50Hertz & TenneT DE;Lippendorf Vattenfall
08.01.2015;00:00;08.01.2015;08:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;363;500;2900;50Hertz;50Hertz & PSE;Boxberg, Jaenschwalde
08.01.2015;00:15;08.01.2015;07:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;100;100;675;TenneT DE;TenneT DE;Brokdorf
08.01.2015;01:30;08.01.2015;19:45;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;552;757;10070;TenneT DE;TenneT DE;Wilhelmshaven (EON)
08.01.2015;01:30;08.01.2015;16:45;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;273;375;4164;TenneT DE;TenneT DE;Ingolstadt 3
